2022-04-26 17:39:23,163 WARN [main] o.s.w.c.s.GenericWebApplicationContext [AbstractApplicationContext.java:591] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'disscussRepository' defined in com.zhouyin.comunity.dao.DisscussRepository defined in @EnableElasticsearchRepositories declared on ElasticsearchRepositoriesRegistrar.EnableElasticsearchRepositoriesConfiguration: Invocation of init method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.data.elasticsearch.repository.support.SimpleElasticsearchRepository]: Constructor threw exception; nested exception is org.springframework.data.elasticsearch.UncategorizedElasticsearchException: java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port; nested exception is ElasticsearchException[java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ExecutionException[org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ProtocolException[Not a valid protocol version: This is not an HTTP port]; nested: ParseException[Not a valid protocol version: This is not an HTTP port];
2022-04-26 17:42:23,174 WARN [main] o.s.w.c.s.GenericWebApplicationContext [AbstractApplicationContext.java:591] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'disscussRepository' defined in com.zhouyin.comunity.dao.DisscussRepository defined in @EnableElasticsearchRepositories declared on ElasticsearchRepositoriesRegistrar.EnableElasticsearchRepositoriesConfiguration: Invocation of init method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.data.elasticsearch.repository.support.SimpleElasticsearchRepository]: Constructor threw exception; nested exception is org.springframework.data.elasticsearch.UncategorizedElasticsearchException: java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port; nested exception is ElasticsearchException[java.util.concurrent.ExecutionException: org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ExecutionException[org.apache.http.ProtocolException: Not a valid protocol version: This is not an HTTP port]; nested: ProtocolException[Not a valid protocol version: This is not an HTTP port]; nested: ParseException[Not a valid protocol version: This is not an HTTP port];
2022-04-26 18:07:30,810 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:07:30,846 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:07:31,243 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost?master_timeout=30s&timeout=30s] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:09:06,110 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:09:06,151 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:55,129 WARN [I/O dispatcher 1] o.e.c.RestClient [RequestLogger.java:65] request [GET http://127.0.0.1:9200/] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:55,170 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [HEAD http://127.0.0.1:9200/discusspost?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open%2Cclosed&allow_no_indices=false] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:57,350 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/241?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:57,415 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [POST http://127.0.0.1:9200/discusspost/_refresh?ignore_throttled=false&ignore_unavailable=false&expand_wildcards=open&allow_no_indices=true] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
2022-04-26 18:11:57,445 WARN [main] o.e.c.RestClient [RequestLogger.java:65] request [PUT http://127.0.0.1:9200/discusspost/_doc/242?timeout=1m] returned 1 warnings: [299 Elasticsearch-7.15.2-93d5a7f6192e8a1a12e154a2b81bf6fa7309da0c "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.15/security-minimal-setup.html to enable security."]
